address,number,geo_point_2d.lon,geo_point_2d.lat
C/GUILLEM DE CASTRO esquina con C/NA JORDANA,1,-0.3829292797331582,39.48004223020643
Salvador Giner - C. Museo,2,-0.3797483936090024,39.47988935334888
Plaza del Musico López Chavarri,3,-0.3802883976424855,39.4768353435743
Plaza de la Virgen - Bailía,4,-0.375342380894589,39.47674734083149
Plaza Poeta Llorente,5,-0.3711403661399108,39.476895339123786
Guillem de Castro - San Pedro Pascual,6,-0.3840834139387113,39.47279833147815
Plaza del Mercado - Taula de Canvis,7,-0.3791853952972924,39.47487233593648
Plaza de la Reina - Mar,8,-0.3752982847143531,39.47388122366064
Plaza de Tetuán,9,-0.3699303648826442,39.47435533016869
Hospital - Horno del Hospital,10,-0.3826104109763401,39.470816323984536
Plaza Ayuntamiento - Cotanda,11,-0.3767843903416451,39.47118632283677
Calle Salvá - Calle Poeta Querol,12,-0.3740102862977963,39.47196722343732
Alfonso el Magnánimo - Nave,13,-0.3708743696408533,39.4720623227334
Huesca - Barón de Cárcer,14,-0.3797244022229544,39.46896731649349
Ribera - Plaza Ayuntamiento,15,-0.3756373880434071,39.46908831533384
"Colón, 60",16,-0.3704333693720587,39.470092316192336
Xátiva - Bailén (Estación del Norte),17,-0.3772593951806123,39.46746831099193
Colón 20-22,18,-0.3731293798737345,39.468191311513856
Juan Llorens - Quart,19,-0.391590438798602,39.47436934054566
Quart - Fernando el Católico,20,-0.3878474253260651,39.47503434099054
Juan Llorens - Literato Gabriel Miró,21,-0.3902144354049112,39.4723713328859
Angel Guimerá - Juan Llorens,22,-0.3883534313205414,39.46978732404922
Fernando el Católico - Erudito Orellana,23,-0.3861784216967592,39.47162832874852
Fernando el Católico - Cuenca,24,-0.3840274173384119,39.469077319212495
"Alberique, 18 (Abastos)",25,-0.3886104333408022,39.46772931656263
San José de Calasanz - Salas Quiroga,26,-0.3858642993911739,39.46633523268935
San Vicente Martir - Doctor Vilá Barberá,27,-0.3818514137102655,39.4633622993056
Navarro Reverter - Grabador Esteve,28,-0.3677513588006829,39.47158231958138
Plaza América - Cirilo Amorós - Sorní,29,-0.3652993525279599,39.47011231364647
Cirilo Amorós - Jorge Juan (Mercado Colón),30,-0.3684993636557958,39.46860130988493
Salamanca - Conde Altea,31,-0.3650283531086902,39.467365304622646
Conde Altea - Almirante Cadarso,32,-0.3682473649948816,39.46600630156446
Germanías - Ruzafa,33,-0.3739903856231028,39.46481830023885
Regne de Valencia - Doctor Sumsi,34,-0.3699613729909211,39.46412229654908
Regne de Valencia - Almirante Cadarso,35,-0.3669943634005945,39.46374929341137
Plaza de los Fueros - Conde Trenor,36,-0.3754363798581042,39.47907234886095
Peris y Valero - Luis Santángel,37,-0.3664406250017559,39.460937800028375
Peris y Valero - Cabo Jubi,38,-0.3702493773693626,39.45940204927687
Peris y Valero - Cuba,39,-0.3739313916673185,39.457854277261184
"Barcas, 11",40,-0.3748243837183276,39.47046631970196
General Urrutia - Granada,41,-0.3647763590897919,39.458912276426375
Av. de la Plata (Museo Fallero),42,-0.3586583378805894,39.45878127329601
Escultor José Capuz - Oriente,43,-0.3611533458364356,39.459477276259406
General Urrutia - Av. de la Plata,44,-0.3630143545257616,39.45642926768604
Hermanos Maristas - General Urrutia,45,-0.3618553529234309,39.45381925759081
Pintor Luis Arcas - Inst. Obrero Valenciano,46,-0.3587873408716088,39.455509261762266
Autopista del Saler - Puente Monteolivete,47,-0.3554183288036281,39.45651226440267
Antonio Ferrandis - General Urrutia,48,-0.3585527382322896,39.450807354184086
Ricardo Muñoz Suay - María José Victoria Fuster (C.C. El Saler),49,-0.3571104198826364,39.45298693239739
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,-0.3528593228128155,39.453318252515686
Moreras (Oceanográfico),51,-0.3472273049060467,39.45218324552497
Luis García Berlanga Martí - Menorca,52,-0.3463402980947426,39.45603425797373
Alameda - Pintor Maella,53,-0.3481393040048007,39.45676426141678
Plaza de Europa,54,-0.3526903171951741,39.459778273617445
Francia - Pintor Maella,55,-0.3486863041159564,39.45934326975421
Francia - Menorca,56,-0.3444052893928658,39.45842126509135
Alameda - Pintor Monleón,57,-0.3582563324315247,39.46447629179199
Plaza España,58,-0.3815864106638383,39.46621830848607
Baleares - Río Escalona,59,-0.3545493213542055,39.46308828566762
Baleares - Lebón,60,-0.3517763125261459,39.46223128102797
Vicent Vidal - Pintor Maella,61,-0.3478302988674309,39.46129327599964
Menorca - Baleares,62,-0.3421522812931475,39.45981126842254
Av Puerto 19 (Telefónica),63,-0.358414330727018,39.46777930285978
Av. Puerto 61-63,64,-0.3541953172495928,39.46651829706714
Av. Puerto - Doctor Manuel Candela,65,-0.3508373061951808,39.465516292011046
Guillem de Anglesola - Av. Puerto,66,-0.3462612916525901,39.46427128532339
Juan Verdeguer - Toneleros,67,-0.3367982630402228,39.45886026320377
Av. Puerto - José Aguilar,68,-0.3417332778594022,39.46280327868023
Av. Puerto - Serrería,69,-0.3387212679875118,39.46195227384504
"Colón, 44",70,-0.3716462894107889,39.46921322131946
Av. Puerto - Plaza Tribunal de les Aigües,71,-0.3335312512230816,39.46038026686525
Ramiro de Maeztu - Peris Brell,72,-0.3464462819621424,39.4672572011624
Jerónimo Monsoriu - Industria,73,-0.3428792786496773,39.4662592905475
Plaza San Felipe Neri (Mercado Algirós),74,-0.3537343124957471,39.469949307546806
República Argentina - Campoamor,75,-0.3517013042029511,39.472113313853896
Campoamor - Músico Ginés,76,-0.343461277578989,39.47008330347364
Molinell - Calderón de la Barca,77,-0.3656673419583549,39.48497336307338
Aragón - Vicente Sancho Tello,78,-0.358688329939162,39.46994531050937
Aragón - Ernesto Ferrer,79,-0.357242322435451,39.4727793187067
Amadeo de Saboya (frente Ayuntamiento),80,-0.3622983394473602,39.47374232444908
Micer Mascó - Rodriguez Fornos,81,-0.3609783335465967,39.47512832851177
Guillem de Castro (Torres de Quart),82,-0.3839144104057024,39.47605634238628
General Elio - Llano del Real,83,-0.3669703519914759,39.47758533929587
"Serrería, 67",84,-0.3352259768659084,39.46712309239452
Blasco Ibañez - Jaime Roig,85,-0.3647153422684407,39.479464345022826
Gaspar Aguilar - Vicente Parra,86,-0.3911934519157556,39.4552402764855
Blasco Ibañez - Doctor Gómez Ferrer (Clínico),87,-0.3618803335785998,39.47851834019109
"Blasco Ibañez, 28 (F. Geografía e Historia)",88,-0.3611423324837735,39.47751233609685
"Blasco Ibañez, 23 (F. Filosofía y Psicología)",89,-0.3593183259089267,39.47780233689744
"Blasco Ibañez, 32 (F. Filología)",90,-0.3589673254467337,39.47673433298103
Grabador Jordan - Escultor Pastor,91,-0.3675733796970313,39.44412522887422
Blasco Ibañez - Aragón,92,-0.355968315835597,39.47586032883543
Blasco Ibañez - Poeta Durán Tortajada,93,-0.343809277423822,39.47228231067077
Blasco Ibañez - Clariano,94,-0.3515833014492605,39.47537832465668
Naranjos (Magisterio),95,-0.3461192793966847,39.47983533734356
Blasco Ibañez - Yecla,96,-0.3482142912637639,39.47355431688417
Blasco Ibañez 121,97,-0.3431322739648798,39.47306831276613
Justo y Pastor - Duque de Gaeta,98,-0.348442294427372,39.469680303996114
Blasco Ibañez 166 - Pintor José Mongrell,99,-0.3404842660990001,39.47134430635022
Blasco Ibañez - Mestre Ripoll,100,-0.3381502585344567,39.47163430564687
